"A121";"Cross Sweeper";"SlowSynth"
"A122";"Nu HPF Lead";"LeadSynth"
"A123";"Motion Bass/Lead";"Bass/Synth Bass"
"A124";"Jazz Guitar";"Guitar/Plucked"
"A125";"Space Pod for 2";"MotionSynth"
"A126";"TenorSax Growl-Y";"Woodwind/Reed"
"A127";"Steam Sweeps";"SE"
"B000";"Big Sweep Stab";"FastSynth"
"B001";"Acoustic Piano";"Keyboard"
"B002";"Flip Blip";"Hit/Arpg"
"B003";"Arco Strings";"Strings"
"B004";"Trance/GarageKit";"Drums"
"B005";"Bass 4 Da Phunk";"Bass/Synth Bass"
"B006";"Burnin' Brass";"Brass"
"B007";"Full Drawbars";"Organ"
"B008";"Bali Gamelon";"Bell/Mallet"
"B009";"Breakdown String";"SlowSynth"
"B010";"Phat Saw Lead";"LeadSynth"
"B011";"Drive Bass";"Bass/Synth Bass"
"B012";"AcousticGuitar 1";"Guitar/Plucked"
"B013";"VCF Modulation";"MotionSynth"
"B014";"Harmonica";"Woodwind/Reed"
"B015";"Soundscapes";"SE"
"B016";"Rezbo";"FastSynth"
"B017";"Stereo E.Piano";"Keyboard"
"B018";"BlastFromDaPast";"Hit/Arpg"
"B019";"Vintage Stringz";"Strings"
"B020";"Standard Kit 1";"Drums"
"B021";"Dah Voices";"Vocal/Airy"
"B022";"Trombone Hard";"Brass"
"B023";"Classic Click";"Organ"
"B024";"VS Bell Boy";"Bell/Mallet"
"B025";"Reactor Pad";"SlowSynth"
"B026";"MonoSynGtr LEAD";"LeadSynth"
"B027";"Acoustic Bass";"Bass/Synth Bass"
"B028";"Wet Dist. Guitar";"Guitar/Plucked"
"B029";"Crimson 5ths";"MotionSynth"
"B030";"Old Shakuhachi";"Woodwind/Reed"
"B031";"Loop-Iteria";"SE"
"B032";"Perky Bleeper";"FastSynth"
"B033";"Velo Whirly";"Keyboard"
"B034";"Auto Pilot";"Hit/Arpg"
"B035";"Small StringsEns";"Strings"
"B036";"WellAardHouse";"LeadSynth"
"B037";"Slow Choir ST";"Vocal/Airy"
"B038";"Garage PWM";"FastSynth"
"B039";"Perc Short Decay";"Organ"
"B040";"Log Drum";"Bell/Mallet"
"B041";"Rez. Down";"SlowSynth"
"B042";"Espress Lead";"LeadSynth"
"B043";"Slap Bass v/s";"Bass/Synth Bass"
